            Zeit	 VehicleSpeed_HS
     2047.640000	        1.050000
     2047.660000	        1.040000
     2047.680000	        1.030000
     2047.700000	        1.020000
     2047.720000	        1.010000
     2047.740000	        0.990000
     2047.760000	        0.980000
     2047.780000	        0.960000
     2047.800000	        0.950000
     2047.820000	        0.940000
     2047.840000	        0.900000
     2047.860000	        0.870000
     2047.880000	        0.840000
     2047.900000	        0.800000
     2047.920000	        0.790000
     2047.940000	        0.780000
     2047.960000	        0.750000
     2047.980000	        0.000000
     2048.000000	        0.000000
     2048.020000	        0.000000
     2048.040000	        0.000000
     2048.060000	        0.000000
     2048.080000	        0.000000
     2048.100000	        0.000000
     2048.120000	        0.000000
     2048.140000	        0.000000
     2048.160000	        0.000000
     2048.180000	        0.000000
     2048.200000	        0.000000
     2048.220000	        0.000000
     2048.240000	        0.000000
     2048.260000	        0.000000
     2048.280000	        0.000000
     2048.300000	        0.000000
     2048.320000	        0.000000
     2048.340000	        0.000000
     2048.360000	        0.000000
     2048.380000	        0.000000
     2048.400000	        0.000000
     2048.420000	        0.000000
     2048.440000	        0.000000
     2048.460000	        0.000000
     2048.480000	        0.000000
     2048.500000	        0.000000
     2048.520000	        0.000000
     2048.540000	        0.000000
     2048.560000	        0.000000
     2048.580000	        0.000000
     2048.600000	        0.000000
     2048.620000	        0.000000
     2048.640000	        0.000000
     2048.660000	        0.000000
     2048.680000	        0.000000
     2048.700000	        0.000000
     2048.720000	        0.000000
     2048.740000	        0.000000
     2048.760000	        0.000000
     2048.780000	        0.000000
     2048.800000	        0.000000
     2048.820000	        0.000000
     2048.840000	        0.000000
     2048.860000	        0.000000
     2048.880000	        0.000000
     2048.900000	        0.000000
     2048.920000	        0.000000
     2048.940000	        0.000000
     2048.960000	        0.000000
     2048.980000	        0.000000
     2049.000000	        0.000000
     2049.020000	        0.000000
     2049.040000	        0.000000
     2049.060000	        0.000000
     2049.080000	        0.000000
     2049.100000	        0.000000
     2049.120000	        0.000000
     2049.140000	        0.000000
     2049.160000	        0.000000
     2049.180000	        0.000000
     2049.200000	        0.000000
     2049.220000	        0.000000
     2049.240000	        0.000000
     2049.260000	        0.000000
     2049.280000	        0.000000
     2049.300000	        0.000000
     2049.320000	        0.000000
     2049.340000	        0.000000
     2049.360000	        0.000000
     2049.380000	        0.000000
     2049.400000	        0.000000
     2049.420000	        0.000000
     2049.440000	        0.000000
     2049.460000	        0.000000
     2049.480000	        0.000000
     2049.500000	        0.000000
     2049.520000	        0.000000
     2049.540000	        0.000000
     2049.560000	        0.000000
     2049.580000	        0.000000
     2049.600000	        0.000000
     2049.620000	        0.000000
     2049.640000	        0.000000
     2049.660000	        0.000000
     2049.680000	        0.000000
     2049.700000	        0.000000
     2049.720000	        0.000000
     2049.740000	        0.000000
     2049.760000	        0.000000
     2049.780000	        0.000000
     2049.800000	        0.000000
     2049.820000	        0.000000
     2049.840000	        0.000000
     2049.860000	        0.000000
     2049.880000	        0.000000
     2049.900000	        0.000000
     2049.920000	        0.000000
     2049.940000	        0.000000
     2049.960000	        0.000000
     2049.980000	        0.000000
     2050.000000	        0.000000
     2050.020000	        0.000000
     2050.040000	        0.000000
     2050.060000	        0.000000
     2050.080000	        0.000000
     2050.100000	        0.000000
     2050.120000	        0.000000
     2050.140000	        0.000000
     2050.160000	        0.000000
     2050.180000	        0.000000
     2050.200000	        0.000000
     2050.220000	        0.000000
     2050.240000	        0.000000
     2050.260000	        0.000000
     2050.280000	        0.000000
     2050.300000	        0.000000
     2050.320000	        0.000000
     2050.340000	        0.000000
     2050.360000	        0.000000
     2050.380000	        0.000000
     2050.400000	        0.000000
     2050.420000	        0.000000
     2050.440000	        0.000000
     2050.460000	        0.000000
     2050.480000	        0.000000
     2050.500000	        0.000000
     2050.520000	        0.000000
     2050.540000	        0.000000
     2050.560000	        0.000000
     2050.580000	        0.000000
     2050.600000	        0.000000
     2050.620000	        0.000000
     2050.640000	        0.000000
     2050.660000	        0.000000
     2050.680000	        0.000000
     2050.700000	        0.000000
     2050.720000	        0.000000
     2050.740000	        0.000000
     2050.760000	        0.000000
     2050.780000	        0.000000
     2050.800000	        0.000000
     2050.820000	        0.000000
     2050.840000	        0.000000
     2050.860000	        0.000000
     2050.880000	        0.000000
     2050.900000	        0.000000
     2050.920000	        0.000000
     2050.940000	        0.000000
     2050.960000	        0.000000
     2050.980000	        0.000000
     2051.000000	        0.000000
     2051.020000	        0.000000
     2051.040000	        0.000000
     2051.060000	        0.000000
     2051.080000	        0.000000
     2051.100000	        0.000000
     2051.120000	        0.000000
     2051.140000	        0.000000
     2051.160000	        0.000000
     2051.180000	        0.000000
     2051.200000	        0.000000
     2051.220000	        0.000000
     2051.240000	        0.000000
     2051.260000	        0.000000
     2051.280000	        0.000000
     2051.300000	        0.000000
     2051.320000	        0.000000
     2051.340000	        0.000000
     2051.360000	        0.000000
     2051.380000	        0.000000
     2051.400000	        0.000000
     2051.420000	        0.000000
     2051.440000	        0.000000
     2051.460000	        0.000000
     2051.480000	        0.000000
     2051.500000	        0.000000
     2051.520000	        0.000000
     2051.540000	        0.000000
     2051.560000	        0.000000
     2051.580000	        0.000000
     2051.600000	        0.000000
     2051.620000	        0.000000
     2051.640000	        0.000000
     2051.660000	        0.000000
     2051.680000	        0.000000
     2051.700000	        0.000000
     2051.720000	        0.000000
     2051.740000	        0.000000
     2051.760000	        0.000000
     2051.780000	        0.000000
     2051.800000	        0.000000
     2051.820000	        0.000000
     2051.840000	        0.000000
     2051.860000	        0.000000
     2051.880000	        0.000000
     2051.900000	        0.000000
     2051.920000	        0.000000
     2051.940000	        0.000000
     2051.960000	        0.000000
     2051.980000	        0.000000
     2052.000000	        0.000000
     2052.020000	        0.000000
     2052.040000	        0.000000
     2052.060000	        0.000000
     2052.080000	        0.000000
     2052.100000	        0.000000
     2052.120000	        0.000000
     2052.140000	        0.000000
     2052.160000	        0.000000
     2052.180000	        0.000000
     2052.200000	        0.000000
     2052.220000	        0.000000
     2052.240000	        0.000000
     2052.260000	        0.000000
     2052.280000	        0.000000
     2052.300000	        0.000000
     2052.320000	        0.000000
     2052.340000	        0.000000
     2052.360000	        0.000000
     2052.380000	        0.000000
     2052.400000	        0.000000
     2052.420000	        0.000000
     2052.440000	        0.000000
     2052.460000	        0.000000
     2052.480000	        0.000000
     2052.500000	        0.000000
     2052.520000	        0.000000
     2052.540000	        0.000000
     2052.560000	        0.000000
     2052.580000	        0.000000
     2052.600000	        0.000000
     2052.620000	        0.000000
     2052.640000	        0.000000
     2052.660000	        0.000000
     2052.680000	        0.000000
     2052.700000	        0.000000
     2052.720000	        0.000000
     2052.740000	        0.000000
     2052.760000	        0.000000
     2052.780000	        0.000000
     2052.800000	        0.000000
     2052.820000	        0.000000
     2052.840000	        0.000000
     2052.860000	        0.000000
     2052.880000	        0.000000
     2052.900000	        0.000000
     2052.920000	        0.000000
     2052.940000	        0.000000
     2052.960000	        0.000000
     2052.980000	        0.000000
     2053.000000	        0.000000
     2053.020000	        0.000000
     2053.040000	        0.000000
     2053.060000	        0.000000
     2053.080000	        0.000000
     2053.100000	        0.000000
     2053.120000	        0.000000
     2053.140000	        0.000000
     2053.160000	        0.000000
     2053.180000	        0.000000
     2053.200000	        0.000000
     2053.220000	        0.000000
     2053.240000	        0.000000
     2053.260000	        0.000000
     2053.280000	        0.000000
     2053.300000	        0.000000
     2053.320000	        0.000000
     2053.340000	        0.000000
     2053.360000	        0.000000
     2053.380000	        0.000000
     2053.400000	        0.000000
     2053.420000	        0.000000
     2053.440000	        0.000000
     2053.460000	        0.000000
     2053.480000	        0.000000
     2053.500000	        0.000000
     2053.520000	        0.000000
     2053.540000	        0.000000
     2053.560000	        0.000000
     2053.580000	        0.000000
     2053.600000	        0.000000
     2053.620000	        0.000000
     2053.640000	        0.000000
     2053.660000	        0.000000
     2053.680000	        0.000000
     2053.700000	        0.000000
     2053.720000	        0.000000
     2053.740000	        0.000000
     2053.760000	        0.000000
     2053.780000	        0.000000
     2053.800000	        0.000000
     2053.820000	        0.000000
     2053.840000	        0.000000
     2053.860000	        0.000000
     2053.880000	        0.000000
     2053.900000	        0.000000
     2053.920000	        0.000000
     2053.940000	        0.000000
     2053.960000	        0.000000
     2053.980000	        0.000000
     2054.000000	        0.000000
     2054.020000	        0.000000
     2054.040000	        0.000000
     2054.060000	        0.000000
     2054.080000	        0.000000
     2054.100000	        0.000000
     2054.120000	        0.000000
     2054.140000	        0.000000
     2054.160000	        0.000000
     2054.180000	        0.000000
     2054.200000	        0.000000
     2054.220000	        0.000000
     2054.240000	        0.000000
     2054.260000	        0.000000
     2054.280000	        0.000000
     2054.300000	        0.000000
     2054.320000	        0.000000
     2054.340000	        0.000000
     2054.360000	        0.000000
     2054.380000	        0.000000
     2054.400000	        0.000000
     2054.420000	        0.000000
     2054.440000	        0.000000
     2054.460000	        0.000000
     2054.480000	        0.000000
     2054.500000	        0.000000
     2054.520000	        0.000000
     2054.540000	        0.000000
     2054.560000	        0.000000
     2054.580000	        0.000000
     2054.600000	        0.000000
     2054.620000	        0.000000
     2054.640000	        0.000000
     2054.660000	        0.000000
     2054.680000	        0.000000
     2054.700000	        0.000000
     2054.720000	        0.000000
     2054.740000	        0.000000
     2054.760000	        0.000000
     2054.780000	        0.000000
     2054.800000	        0.000000
     2054.820000	        0.000000
     2054.840000	        0.000000
     2054.860000	        0.000000
     2054.880000	        0.000000
     2054.900000	        0.000000
     2054.920000	        0.000000
     2054.940000	        0.000000
     2054.960000	        0.000000
     2054.980000	        0.000000
     2055.000000	        0.000000
     2055.020000	        0.000000
     2055.040000	        0.000000
     2055.060000	        0.000000
     2055.080000	        0.000000
     2055.100000	        0.000000
     2055.120000	        0.000000
     2055.140000	        0.000000
     2055.160000	        0.000000
     2055.180000	        0.000000
     2055.200000	        0.000000
     2055.220000	        0.000000
     2055.240000	        0.000000
     2055.260000	        0.000000
     2055.280000	        0.000000
     2055.300000	        0.000000
     2055.320000	        0.000000
     2055.340000	        0.000000
     2055.360000	        0.000000
     2055.380000	        0.000000
     2055.400000	        0.000000
     2055.420000	        0.000000
     2055.440000	        0.000000
     2055.460000	        0.000000
     2055.480000	        0.000000
     2055.500000	        0.000000
     2055.520000	        0.000000
     2055.540000	        0.000000
     2055.560000	        0.000000
     2055.580000	        0.000000
     2055.600000	        0.000000
     2055.620000	        0.000000
     2055.640000	        0.000000
     2055.660000	        0.000000
     2055.680000	        0.000000
     2055.700000	        0.000000
     2055.720000	        0.000000
     2055.740000	        0.000000
     2055.760000	        0.000000
     2055.780000	        0.000000
     2055.800000	        0.000000
     2055.820000	        0.000000
     2055.840000	        0.000000
     2055.860000	        0.000000
     2055.880000	        0.000000
     2055.900000	        0.000000
     2055.920000	        0.000000
     2055.940000	        0.000000
     2055.960000	        0.000000
     2055.980000	        0.000000
     2056.000000	        0.000000
